,date,DJIA
822,2013-04-11,14865.14
823,2013-04-12,14865.06
824,2013-04-15,14599.2
825,2013-04-16,14756.78
826,2013-04-17,14618.59
827,2013-04-18,14537.14
828,2013-04-19,14547.51
829,2013-04-22,14567.17
830,2013-04-23,14719.46
831,2013-04-24,14676.3
832,2013-04-25,14700.8
833,2013-04-26,14712.55
834,2013-04-29,14818.75
835,2013-04-30,14839.8
836,2013-05-01,14700.95
837,2013-05-02,14831.58
838,2013-05-03,14973.96
839,2013-05-06,14968.89
840,2013-05-07,15056.2
841,2013-05-08,15105.12
842,2013-05-09,15082.62
843,2013-05-10,15118.49
844,2013-05-13,15091.68
845,2013-05-14,15215.25
846,2013-05-15,15275.69
847,2013-05-16,15233.22
848,2013-05-17,15354.4
849,2013-05-20,15335.28
850,2013-05-21,15387.58
851,2013-05-22,15307.17
852,2013-05-23,15294.5
853,2013-05-24,15303.1
854,2013-05-28,15409.39
855,2013-05-29,15302.8
856,2013-05-30,15324.53
857,2013-05-31,15115.57
858,2013-06-03,15254.03
859,2013-06-04,15177.54
860,2013-06-05,14960.59
861,2013-06-06,15040.62
862,2013-06-07,15248.12
863,2013-06-10,15238.59
864,2013-06-11,15122.02
865,2013-06-12,14995.23
866,2013-06-13,15176.08
867,2013-06-14,15070.18
868,2013-06-17,15179.85
869,2013-06-18,15318.23
870,2013-06-19,15112.19
871,2013-06-20,14758.32
872,2013-06-21,14799.4
873,2013-06-24,14659.56
874,2013-06-25,14760.31
875,2013-06-26,14910.14
876,2013-06-27,15024.49
877,2013-06-28,14909.6
878,2013-07-01,14974.96
879,2013-07-02,14932.41
880,2013-07-03,14988.55
881,2013-07-05,15135.84
882,2013-07-08,15224.69
883,2013-07-09,15300.34
884,2013-07-10,15291.66
885,2013-07-11,15460.92
886,2013-07-12,15464.3
887,2013-07-15,15484.26
888,2013-07-16,15451.85
889,2013-07-17,15470.52
890,2013-07-18,15548.54
891,2013-07-19,15543.74
892,2013-07-22,15545.55
893,2013-07-23,15567.74
894,2013-07-24,15542.24
895,2013-07-25,15555.61
896,2013-07-26,15558.83
897,2013-07-29,15521.97
898,2013-07-30,15520.59
899,2013-07-31,15499.54
900,2013-08-01,15628.02
901,2013-08-02,15658.36
902,2013-08-05,15612.13
903,2013-08-06,15518.74
904,2013-08-07,15470.67
905,2013-08-08,15498.32
906,2013-08-09,15425.51
907,2013-08-12,15419.68
908,2013-08-13,15451.01
909,2013-08-14,15337.66
910,2013-08-15,15112.19
911,2013-08-16,15081.47
912,2013-08-19,15010.74
913,2013-08-20,15002.99
914,2013-08-21,14897.55
915,2013-08-22,14963.74
916,2013-08-23,15010.51
917,2013-08-26,14946.46
918,2013-08-27,14776.13
919,2013-08-28,14824.51
920,2013-08-29,14840.95
921,2013-08-30,14810.31
922,2013-09-03,14833.96
923,2013-09-04,14930.87
924,2013-09-05,14937.48
925,2013-09-06,14922.5
926,2013-09-09,15063.12
927,2013-09-10,15191.06
928,2013-09-11,15326.6
929,2013-09-12,15300.64
930,2013-09-13,15376.06
931,2013-09-16,15494.78
932,2013-09-17,15529.73
933,2013-09-18,15676.94
934,2013-09-19,15636.55
935,2013-09-20,15451.09
936,2013-09-23,15401.38
937,2013-09-24,15334.59
938,2013-09-25,15273.26
939,2013-09-26,15328.3
940,2013-09-27,15258.24
941,2013-09-30,15129.67
942,2013-10-01,15191.7
943,2013-10-02,15133.14
944,2013-10-03,14996.48
945,2013-10-04,15072.58
946,2013-10-07,14936.24
947,2013-10-08,14776.53
948,2013-10-09,14802.98
949,2013-10-10,15126.07
950,2013-10-11,15237.11
951,2013-10-14,15301.26
952,2013-10-15,15168.01
953,2013-10-16,15373.83
954,2013-10-17,15371.65
955,2013-10-18,15399.65
956,2013-10-21,15392.2
957,2013-10-22,15467.66
958,2013-10-23,15413.33
959,2013-10-24,15509.21
960,2013-10-25,15570.28
961,2013-10-28,15568.93
962,2013-10-29,15680.35
963,2013-10-30,15618.76
964,2013-10-31,15545.75
965,2013-11-01,15615.55
966,2013-11-04,15639.12
967,2013-11-05,15618.22
968,2013-11-06,15746.88
969,2013-11-07,15593.98
970,2013-11-08,15761.78
971,2013-11-11,15783.1
972,2013-11-12,15750.67
973,2013-11-13,15821.63
974,2013-11-14,15876.22
975,2013-11-15,15961.7
976,2013-11-18,15976.02
977,2013-11-19,15967.03
978,2013-11-20,15900.82
979,2013-11-21,16009.99
980,2013-11-22,16064.77
981,2013-11-25,16072.54
982,2013-11-26,16072.8
983,2013-11-27,16097.33
984,2013-11-29,16086.41
985,2013-12-02,16008.77
986,2013-12-03,15914.62
987,2013-12-04,15889.77
988,2013-12-05,15821.51
989,2013-12-06,16020.2
990,2013-12-09,16025.53
991,2013-12-10,15973.13
992,2013-12-11,15843.53
993,2013-12-12,15739.43
994,2013-12-13,15755.36
995,2013-12-16,15884.57
996,2013-12-17,15875.26
