,Date,Close
642,2015-10-06,645.44
643,2015-10-07,642.36
644,2015-10-08,639.16
645,2015-10-09,643.61
646,2015-10-10,
647,2015-10-11,
648,2015-10-12,646.67
649,2015-10-13,652.3
650,2015-10-14,651.16
651,2015-10-15,661.74
652,2015-10-16,662.2
653,2015-10-17,
654,2015-10-18,
655,2015-10-19,666.1
656,2015-10-20,650.28
657,2015-10-21,642.61
658,2015-10-22,651.79
659,2015-10-23,702.0
660,2015-10-24,
661,2015-10-25,
662,2015-10-26,712.78
663,2015-10-27,708.49
664,2015-10-28,712.95
665,2015-10-29,716.92
666,2015-10-30,710.81
667,2015-10-31,
668,2015-11-01,
669,2015-11-02,721.11
670,2015-11-03,722.16
671,2015-11-04,728.11
672,2015-11-05,731.25
673,2015-11-06,733.76
674,2015-11-07,
675,2015-11-08,
676,2015-11-09,724.89
677,2015-11-10,728.32
678,2015-11-11,735.4
679,2015-11-12,731.23
680,2015-11-13,717.0
681,2015-11-14,
682,2015-11-15,
683,2015-11-16,728.96
684,2015-11-17,725.3
685,2015-11-18,740.0
686,2015-11-19,738.41
687,2015-11-20,756.6
688,2015-11-21,
689,2015-11-22,
690,2015-11-23,755.98
691,2015-11-24,748.28
692,2015-11-25,748.15
693,2015-11-26,
694,2015-11-27,750.26
695,2015-11-28,
696,2015-11-29,
697,2015-11-30,742.6
698,2015-12-01,767.04
699,2015-12-02,762.38
700,2015-12-03,752.54
701,2015-12-04,766.81
702,2015-12-05,
703,2015-12-06,
704,2015-12-07,763.25
705,2015-12-08,762.37
706,2015-12-09,751.61
707,2015-12-10,749.46
708,2015-12-11,738.87
709,2015-12-12,
710,2015-12-13,
711,2015-12-14,747.77
712,2015-12-15,743.4
713,2015-12-16,758.09
714,2015-12-17,749.43
715,2015-12-18,739.31
716,2015-12-19,
717,2015-12-20,
718,2015-12-21,747.77
719,2015-12-22,750.0
720,2015-12-23,750.31
721,2015-12-24,748.4
722,2015-12-25,
723,2015-12-26,
724,2015-12-27,
725,2015-12-28,762.51
726,2015-12-29,776.6
727,2015-12-30,771.0
728,2015-12-31,758.88
729,2016-01-01,
730,2016-01-02,
731,2016-01-03,
